Province/State,Country,Date,N,varN,C,varC,R,varR,D,varD,M,varM 
,US,2020-02-14,0.3526802368922736,0.17028879306688244-0.7221597160891176,0.01748629940479271,0.00836672721352315-0.03596027336463491,0.038503596702071846,0.011692030463271852-0.12301311675676026,3.2423646768266785,2.7125919932669747e-09-925044.0627495919,0.10917423964936485,0.016190366483733645-0.7223794034904326
,US,2020-02-15,0.48511353682859853,0.2362416939346032-0.9848890684163238,0.02405249759642783,0.01160890545172806-0.049041274175814095,0.04980856563035014,0.01526175056316366-0.15770391693738678,3.333202051739388,2.8278622891672937e-09-937570.3639356755,0.10267403782621844,0.015495908171368132-0.6675532769462897
,US,2020-02-16,0.6672762429480804,0.3277381730539725-1.3432021394412046,0.03308433801747025,0.016107434522764856-0.06688063284212646,0.06443276531341727,0.019921349929768024-0.20217783330255576,3.4265843064146555,2.9480309410127067e-09-950263.7891221073,0.0965608561586849,0.014831237491965023-0.6168882660771431
,US,2020-02-17,0.9178420104463226,0.45467126581104217-1.8318732958489647,0.04550768237320476,0.02234914514144073-0.09120924664333686,0.08335074887464361,0.026003582051296204-0.2591937921701126,3.522582737632334,3.0733061020901014e-09-963126.4999634522,0.09081165159798288,0.014195076761160538-0.5700685564718126
,US,2020-02-18,1.2624965504645702,0.6307655830035714-2.498328184858219,0.06259605831872483,0.031009509945674897-0.12438764003840726,0.10782320615265488,0.03394279413107924-0.3322887617579767,3.621270639606353,3.2039047710603873e-09-976160.6842188254,0.08540475307673386,0.01358620310045676-0.5268023029660058
,US,2020-02-19,1.7365706936944818,0.8750612809838986-3.4072464019615842,0.08610120983735896,0.04302573920182979-0.1696349952507141,0.1394809757647911,0.04430594489287783-0.4259971669514415,3.7227233599444634,3.3400531678385247e-09-989368.5560161531,0.08031977982310132,0.013003446086954695-0.48681981046225725
,US,2020-02-20,2.388662182787939,1.2139727737264903-4.646838656097555,0.11843266995141662,0.059698199498344186-0.23134149361689743,0.18043372379403008,0.05783309250190436-0.546132180990059,3.8270183571755103,3.4819871254462753e-09-1002752.3561176487,0.0755375645389236,0.012445685504061155-0.4498718528205669
,US,2020-02-21,3.2856174659915145,1.684144784392856-6.3374076305615095,0.16290476388651054,0.08283112980657761-0.3154942721150103,0.23341053141970136,0.07549024394377393-0.7001463439134639,3.9342352598886086,3.6299524985165627e-09-1016314.352186467,0.07104008115237606,0.011911849188890712-0.4157281193409215
,US,2020-02-22,4.519384178748461,2.3364145459361763-8.643023369387455,0.22407636313590273,0.11492788149528849-0.43025832266785247,0.3019417602158944,0.09853833996571079-0.8975938786126175,4.0444559275288485,3.784205589157009e-09-1030056.83905451,0.06681037687296375,0.011400910972278716-0.3841757791543629
,US,2020-02-23,6.216436764758754,3.2413085620526485-11.787446281032967,0.3082182187916176,0.1594618086563123-0.5867686946053282,0.3905943145740398,0.1286233019645002-1.150723384105658,4.157764512896611,3.945013590910495e-09-1043982.1389912966,0.06283250829290755,0.010911888707519826-0.3550181545742534
,US,2020-02-24,8.550741460672022,4.496668263105907-16.075843077255204,0.4239557806667012,0.22125212078839543-0.8002108614958603,0.5052759790755478,0.1678935712909904-1.4752376735565935,4.274247526397466,4.112655051581179e-09-1058092.601973904,0.05909148129428264,0.010443842384138065-0.328073495138738
,US,2020-02-25,11.761589687905918,6.238229076651021-21.92440315923607,0.5831533977377762,0.3069853671750313-1.0912940713042838,0.6536291117749892,0.21915353474177038-1.8912678933074694,4.393993902092398,4.287420355728769e-09-1072390.6059578792,0.05557319453569239,0.009995872323185582-0.3031738447031817
,US,2020-02-26,16.178127952315386,8.654296766998478-29.900729681767885,0.802130539275375,0.42593898000952957-1.488260625748,0.8455399290048395,0.28606379272905186-2.4246223520169696,4.517095065598204,4.469612227665471e-09-1086878.5571491092,0.05226438630582269,0.009567117450765111-0.28016399452151997
,US,2020-02-27,22.25309880326807,12.006107909797821-40.778925171315386,1.1033347110583678,0.5909851663848552-2.0296260294607333,1.0937973202944433,0.3734025717696383-3.108387530497996,4.643645003890449,4.659546255827991e-09-1101558.8902765678,0.049152584544037044,0.009156753646667869-0.2589005157917442
,US,2020-02-28,30.609251610898966,16.65607595430465-55.61471760916871,1.517642555954538,0.8199837731248222-2.7679158558680252,1.414945096630499,0.48740694939826745-3.9849805901720177,4.773740337061658,4.857551439432307e-09-1116434.0688658974,0.04622605984024395,0.00876399216523061-0.23925086563634013
,US,2020-02-29,42.103180664307956,23.10697693582519-75.84791768411755,2.087525021370784,1.137714834946646-3.774761872361264,1.830384465611052,0.6362182592087949-5.108780706476064,4.907480392090286,5.063970758358304e-09-1131506.5855137673,0.043473781237689725,0.008388078125736314-0.22109256094661958
,US,2020-03-01,57.91313448855957,32.056311714269576-103.44215015756585,2.8714010475865486,1.578559908872049-5.1478518310368635,2.367800202059974,0.8304634834799951-6.549502460521788,5.044967278675963,5.279161767251389e-09-1146778.9621629408,0.04088537467312739,0.00802828906992953-0.20431241494343022
,US,2020-03-02,79.6597974096628,44.471722508244405-141.0754192655272,3.9496260583357365,2.1902223132648166-7.020407151128956,3.063005553581989,1.0840141520401871-8.396520555223047,5.1863059671996545,5.50349721487015e-09-1162253.7503779891,0.03845108389907158,0.007683933584488548-0.188805831698254
,US,2020-03-03,109.57242407162117,61.695617860093236-192.40000064451957,5.432729103058743,3.038888792482346-9.574107931703663,3.962328824808712,1.4149769421639522-10.764414136505756,5.331604368867667,5.737365689752917e-09-1177933.5316216012,0.03616173374259536,0.007354349986610861-0.1744761542208095
,US,2020-03-04,150.71735613910081,85.59031808182566-262.39687876331834,7.472742979431813,4.216391076568054-13.056719110642689,5.125700681215059,1.8469867206031165-13.800074656844732,5.48097341810111,5.981172293321606e-09-1193820.917531397,0.034008695564460546,0.0070389050712340836-0.16123406205421095
,US,2020-03-05,207.31234405857418,118.73941403701352-357.8591214174102,10.278788668243985,5.850142167165952-17.806127536185787,6.6306479088195065,2.4108943669367595-17.691818210271176,5.634527157233593,6.2353393415887865e-09-1209918.5501971939,0.031983854791329154,0.006736992918854987-0.14899701462865794
,US,2020-03-06,285.1588904075654,164.72710927757154-488.051090470059,14.138511411238875,8.116922354739181-24.283121414363556,8.57745977149918,3.1469699096360335-22.6810676115182,5.792382823581489,6.500307096683407e-09-1226229.102438643,0.030079580402489935,0.006448033763442834-0.1376887369115409
